epoch,step,test_MulticlassAccuracy,test_MulticlassF1Score,test_MulticlassPrecision,test_MulticlassRecall,test_loss,train_MulticlassAccuracy,train_MulticlassF1Score,train_MulticlassPrecision,train_MulticlassRecall,train_loss,val_MulticlassAccuracy,val_MulticlassF1Score,val_MulticlassPrecision,val_MulticlassRecall,val_loss
0,66,,,,,,,,,,,0.6878761053085327,0.7056627869606018,0.7156712412834167,0.7067880034446716,0.86925208568573
0,66,,,,,,0.49830323457717896,0.5212000012397766,0.525627851486206,0.536864161491394,1.2988735437393188,,,,,
1,133,,,,,,,,,,,0.8165117502212524,0.83937007188797,0.8417065739631653,0.8397480249404907,0.5154344439506531
1,133,,,,,,0.7529475688934326,0.7712258100509644,0.7707272171974182,0.7748484015464783,0.6633303165435791,,,,,
2,200,,,,,,,,,,,0.8515322208404541,0.869134783744812,0.8725348711013794,0.8691393136978149,0.4133732318878174
2,200,,,,,,0.829157829284668,0.8421319723129272,0.8421456813812256,0.8436770439147949,0.46514347195625305,,,,,
3,267,,,,,,,,,,,0.870764970779419,0.8876039981842041,0.89019775390625,0.8880336284637451,0.351988822221756
3,267,,,,,,0.8732950687408447,0.8837876915931702,0.8840734958648682,0.8845077157020569,0.35558342933654785,,,,,
4,334,,,,,,,,,,,0.8775167465209961,0.8935376405715942,0.8976495265960693,0.894331693649292,0.3272576332092285
4,334,,,,,,0.902175784111023,0.9098339676856995,0.9100167155265808,0.9101725816726685,0.2858489453792572,,,,,
5,401,,,,,,,,,,,0.8937861919403076,0.9079223871231079,0.9119250178337097,0.9083274602890015,0.2835922837257385
5,401,,,,,,0.9156213402748108,0.9234257340431213,0.9235545992851257,0.9237051010131836,0.23482856154441833,,,,,
6,468,,,,,,,,,,,0.8842501044273376,0.9005700349807739,0.9080561995506287,0.9006298184394836,0.3002864718437195
6,468,,,,,,0.9244339466094971,0.9308932423591614,0.9310277104377747,0.9311712384223938,0.19662004709243774,,,,,
7,535,,,,,,,,,,,0.8921151757240295,0.9061821699142456,0.9129366278648376,0.9062281250953674,0.2763354778289795
7,535,,,,,,0.9346519112586975,0.9396520853042603,0.9397368431091309,0.939803957939148,0.17186355590820312,,,,,
8,602,,,,,,,,,,,0.8869584798812866,0.8969953060150146,0.9065142273902893,0.8964310884475708,0.3074685335159302
8,602,,,,,,0.9487404227256775,0.9529919624328613,0.9529997110366821,0.9531030654907227,0.13942068815231323,,,,,
9,669,,,,,,,,,,,0.9060006141662598,0.9166929721832275,0.9216189384460449,0.9167249798774719,0.2646004259586334
9,669,,,,,,0.957381010055542,0.9607367515563965,0.9607424736022949,0.9608026146888733,0.1234915480017662,,,,,
10,736,,,,,,,,,,,0.9174009561538696,0.9263370037078857,0.9304620027542114,0.9265220761299133,0.23348115384578705
10,736,,,,,,0.9632045030593872,0.9663547873497009,0.9663844108581543,0.9664022326469421,0.10682300478219986,,,,,
11,803,,,,,,,,,,,0.9150943160057068,0.925331711769104,0.9286993741989136,0.9251224994659424,0.2319772094488144
11,803,,,,,,0.9727964997291565,0.9754679203033447,0.9754830002784729,0.9755016565322876,0.08351463824510574,,,,,
12,870,,,,,,,,,,,0.918351948261261,0.9256715774536133,0.9293490648269653,0.9258222579956055,0.23773705959320068
12,870,,,,,,0.9669304490089417,0.9703311324119568,0.9703227281570435,0.9703686237335205,0.08587174117565155,,,,,
13,937,,,,,,,,,,,0.9262356758117676,0.9368902444839478,0.9385641813278198,0.937018871307373,0.22504346072673798
13,937,,,,,,0.9800445437431335,0.9813211560249329,0.981318473815918,0.9813345670700073,0.06575500965118408,,,,,
14,1004,,,,,,,,,,,0.9204480051994324,0.9313257932662964,0.9339789748191833,0.931420624256134,0.2209707498550415
14,1004,,,,,,0.976728081703186,0.9787260293960571,0.9787271022796631,0.9787681102752686,0.06485725939273834,,,,,
15,1071,,,,,,,,,,,0.9254069328308105,0.9380154609680176,0.9405854344367981,0.9384185075759888,0.20531146228313446
15,1071,,,,,,0.9818085432052612,0.9827404022216797,0.9827665090560913,0.9827345013618469,0.05617532134056091,,,,,
16,1138,,,,,,,,,,,0.9331963658332825,0.9457700848579407,0.9479607343673706,0.9461161494255066,0.21229833364486694
16,1138,,,,,,0.9801182150840759,0.981793999671936,0.9818076491355896,0.9818012118339539,0.05541905388236046,,,,,
17,1205,,,,,,,,,,,0.9241185784339905,0.9320878982543945,0.9350013732910156,0.9321203231811523,0.23242832720279694
17,1205,,,,,,0.9843285083770752,0.9855282306671143,0.9855340719223022,0.9855343103408813,0.04602598026394844,,,,,
18,1272,,,,,,,,,,,0.9260600805282593,0.935588538646698,0.9380178451538086,0.9356192946434021,0.22785325348377228
18,1272,,,,,,0.9874348640441895,0.9881071448326111,0.9881185293197632,0.9881007671356201,0.03673494979739189,,,,,
19,1339,,,,,,,,,,,0.9200589656829834,0.9327038526535034,0.9358519315719604,0.932820200920105,0.2505970895290375
19,1339,,,,,,0.9865938425064087,0.9873979687690735,0.9874088764190674,0.9874007701873779,0.040606558322906494,,,,,
20,1406,,,,,,,,,,,0.9279902577400208,0.9350096583366394,0.9380009770393372,0.9349194765090942,0.22395047545433044
20,1406,,,,,,0.9888941049575806,0.9899609088897705,0.9899597764015198,0.9899673461914062,0.03515979275107384,,,,,
21,1407,0.9319949150085449,0.936352014541626,0.9381227493286133,0.93631911277771,0.21564118564128876,,,,,,,,,,
